feature,grid_line_candidate,axis_line_candidate,tick_or_scale_mark,page_border_or_layout_box,text_or_digit_stroke,curve_or_data_trace,ambiguous_linear
span_px,0.22192446112331635,0.6065937875276786,-0.4381001350753717,0.19683778754309933,-0.3931539968470218,0.04708628969027791,-0.21889219764393644
pixel_count_log,0.3764681099145587,0.3540375925350859,-0.5732011451760667,0.023339219333162957,1.5829221056132945,-0.4830328985373038,-1.2591970437519147
density,0.03722524070821697,0.3573083289204762,1.0270859770212444,0.41754525972886036,-0.09635333699539128,-0.816334664238701,-0.9458554274517103
longest_run,-0.030896048822383664,0.10640893898716779,-0.20397296478875868,-0.01249470081174293,-0.5060489125865367,1.2680580158168029,-0.6234814804616646
lineality_score,0.09414922189788447,0.47586403993320386,0.15731391131396033,0.40682651604033127,0.05954938291728592,-0.13130590440293946,-1.1542485963282296
edge_distance_px,0.1607293881717925,0.4177625433108605,0.3036172735437198,-1.0448299394131786,0.21900425259342593,0.017936935107720143,-0.09940438266408949
same_axis_extension_score,0.339213057958794,0.8833782063383082,-0.5019680466143522,-0.41970905169752226,-0.596317802416156,-0.1490957566758936,0.36713479532375204
near_line_study_contact_score,0.5633739256190484,0.18018010161455247,0.693001903212689,-0.4378853832359697,-0.4918787991092109,-0.13649697356322438,-0.30419628957421757
parallel_context_count,1.070692054271704,-0.8811409041775726,-0.13693544726856566,-0.00365435551146311,-0.08472217239415916,-0.07577915061245487,0.13475726658091616
parallel_context_score,1.1069256614057152,-0.9581968443134169,-0.15405123379557273,0.030551114932332066,-0.09874579903511618,-0.09855900902774313,0.13357812229106808
local_observed_context_score,-0.17843211485118782,-0.31691679503573944,-0.4792443481091969,-0.30034905190092176,0.7344805365756272,0.5069886371072968,-0.00016739426529279906
grid_role_score,1.2251024516500084,-0.28889800572981356,-0.1534621136587374,-0.206323473460615,-0.4415250571901434,-0.09521295684931334,-0.09127431497763369
axis_role_score,0.10234683077925659,1.2074914002368042,-0.21731150778708527,-0.25517295118127103,-0.6154884547665723,-0.002956679780471025,-0.2958848936051223
tick_role_score,-0.1588978114069578,0.03592518374671685,1.3824902426089116,-0.2337432584407295,-0.02372820501103896,-0.911777613066305,-0.03112025577599584
border_role_score,-0.41765987017530776,-0.445805550694219,-0.20274368678213783,1.4404738483402124,-0.23366816041846758,-0.16777543339457288,-0.046336410890049765
text_role_score,-0.4199857520998042,-0.36097786994234,0.1750427238004252,-0.22458075133115304,1.0741890522647721,-0.3511186308167264,0.10294907605571989
curve_role_score,-0.544098198910492,0.1892274992571595,-0.3713345250538347,0.31440701434919394,0.05137229689527298,1.0450634960969485,-0.7018005157192433
orientation_horizontal,-0.03633091864732794,-0.10132899165863729,-0.08310118949845827,0.05254080795344711,-0.11262867159366867,0.39872227899941354,-0.15177456433292996
orientation_vertical,0.10065328674567725,0.13659822631776578,0.04014038638855695,-0.04788762104003304,0.09164553167608917,-0.40796418617812336,0.1417502029880189
bias,-0.1612977450081469,0.19119981280080275,0.012057391319621863,0.028204840744858194,0.13867995133961197,-0.06880305818739715,-0.1426081423051364
